experiment_name,algorithm,dataset,n_train,validation_AK,validation_BX,validation_CH,validation_HS,validation_PS,validation_QS,validation_YW,validation_ZW,validation_good,validation_ng,validation_total,test_AK,test_BX,test_CH,test_HS,test_PS,test_QS,test_YW,test_ZW,test_good,test_ng,test_total,training_seconds,image_auroc,image_ap,pixel_auroc,pixel_ap,avg_inference_time_seconds,miss_rate_at_0.01,false_positive_rate_at_0.01,per_defect_image_auroc_score,per_defect_image_auroc_BX,per_defect_image_auroc_PS,per_defect_image_auroc_QS,per_defect_image_auroc_ZW,per_defect_image_ap_score,per_defect_image_ap_BX,per_defect_image_ap_PS,per_defect_image_ap_QS,per_defect_image_ap_ZW,per_defect_pixel_auroc_score,per_defect_pixel_auroc_BX,per_defect_pixel_auroc_PS,per_defect_pixel_auroc_QS,per_defect_pixel_auroc_ZW,per_defect_pixel_ap_score,per_defect_pixel_ap_BX,per_defect_pixel_ap_PS,per_defect_pixel_ap_QS,per_defect_pixel_ap_ZW,per_defect_image_auroc_AK,per_defect_image_auroc_HS,per_defect_image_ap_AK,per_defect_image_ap_HS,per_defect_pixel_auroc_AK,per_defect_pixel_auroc_HS,per_defect_pixel_ap_AK,per_defect_pixel_ap_HS,per_defect_image_auroc_CH,per_defect_image_ap_CH,per_defect_pixel_auroc_CH,per_defect_pixel_ap_CH,per_defect_image_auroc_YW,per_defect_image_ap_YW,per_defect_pixel_auroc_YW,per_defect_pixel_ap_YW
performance,STFPM,zipper,50,,5,,,5,5,,5,20,20,40,,120,,,116,120,,124,300,480,780,5.269,0.4768993055555556,0.593748322461007,0.8823113283159305,0.027757496502947114,0.005003824743732529,0.041666666666666664,0.98,0.4767996114509949,0.49043055555555554,0.4808189655172414,0.4431666666666667,0.49278225806451614,0.27300241431476513,0.26821873701803395,0.27062998014881534,0.2646008972470594,0.2885600428451518,0.8739903630466628,0.8863625327560323,0.8772563534869693,0.8669015536458923,0.8654410122977574,0.012797407333459219,0.038626609016488636,0.0033372739783469455,0.004383599657576407,0.004842146681424884,,,,,,,,,,,,,,,,
performance,cpr,audiojack,50,,7,,,,7,,6,20,20,40,,119,,4,,49,,14,300,186,486,240.498,0.8753046594982079,0.8577360017644661,0.9764552483297434,0.15351803677158016,0.006728124074085037,0.010752688172043012,0.8466666666666667,0.8608008203281312,0.9847338935574229,,0.5958503401360544,0.8976190476190475,0.4712220823804425,0.9456127444289173,,0.20825492672961557,0.41321762806020673,0.9249670323434567,0.9878567555413316,,0.8923039165223289,0.983519764954268,0.05416826326758601,0.18634020594621753,,0.002521321999036054,0.02778153156294993,,0.965,,0.3178030303030303,,0.836187692355898,,2.9993562140534438e-05,,,,,,,,
performance,cpr,bottle_cap,50,7,,,7,,,,6,20,20,40,58,,,118,,1,,29,300,206,506,250.309,0.802168284789644,0.7211507394733764,0.9856658019995425,0.15154507358363806,0.0068016881424720396,0.009708737864077669,0.86,0.832405026300409,,,0.78,0.9114942528735632,0.43615735765172625,,,0.014925373134328358,0.6069346432061812,0.9873606884635461,,,,0.9989649807716603,0.11823466748645473,,,,0.11928643601636472,0.9210919540229885,0.7170338983050847,0.7166186669571788,0.4061507473092167,0.9896508901571005,0.9734661944618778,0.18768192079897428,0.04773564564402515,,,,,,,,
performance,cpr,button_battery,50,5,,5,5,,,,5,20,20,40,118,,63,104,,,,112,300,397,697,254.29,,0.8199002331432315,0.9464922547483136,0.15278163067994427,0.006401680057386289,0.010075566750629723,0.6933333333333334,0.8346308918051504,,,,0.8708035714285713,0.5587381023097835,,,,0.7503789212698652,0.9300360818473145,,,,0.9620835258768055,0.06924967123633008,,,,0.20075966656931962,0.7682485875706215,0.762275641025641,0.4175948340834111,0.3904490298073158,0.9378593787279396,0.906720324953716,0.0022244650786027924,0.00332330182806556,0.9371957671957672,0.6765296240785419,0.9134810978307968,0.07069125146933236,,,,
performance,cpr,end_cap,50,,,,5,5,5,,5,20,20,40,,,,87,114,128,,74,300,403,703,326.52,,0.6518688775909023,0.9507143005669167,0.07727179934147982,0.005860090611666697,0.009925558312655087,0.8966666666666666,0.6738081138860617,,0.8315497076023393,0.5320052083333333,0.6655855855855856,0.33424280365754994,,0.5059977292694137,0.2875085600576798,0.26393688578163516,0.9602171486889188,,0.9847658031548107,0.9757772757968934,0.9772849881060203,0.04030925947033255,,0.05085430543686962,0.041132111809869636,0.058646794375277575,,0.6660919540229885,,0.2795280395214712,,0.9030405276979508,,0.010603826259313366,,,,,,,,
performance,cpr,eraser,50,5,,,5,,5,,5,20,20,40,31,,,96,,25,,40,300,192,492,255.547,0.8636979166666665,0.8458098929792781,0.9873874110076536,0.30445587634246896,0.005998518699185275,0.010416666666666666,0.9966666666666667,0.8220764672939068,,,0.7415999999999999,0.8545833333333333,0.5510198852836953,,,0.30658433642862404,0.6867848672343537,0.9755740045882764,,,0.9883236576005328,0.9846338591419879,0.12331972292220206,,,0.051957686483485165,0.1482623322228578,0.7590322580645161,0.9330902777777779,0.3603309819841256,0.8503793554876777,0.9379160607424447,0.9914224408681401,0.022273925807208852,0.2707849471752564,,,,,,,,
performance,cpr,fire_hood,50,5,,,5,,5,,5,20,20,40,28,,,45,,58,,16,300,147,447,265.097,0.8741043083900227,0.7309113191539796,0.9724107104383461,0.169441255407553,0.005893295749441681,0.006802721088435374,0.9466666666666667,0.8867729942072614,,,0.9355172413793104,0.933125,0.4502387452624903,,,0.6578232719261097,0.4067944053819002,0.9746729340112027,,,0.9863279693591677,0.9984407887615712,0.08097232098487535,,,0.15156111388302573,0.06571139908936291,0.9545238095238096,0.723925925925926,0.5207339631384588,0.2156033406034927,0.996303830239879,0.9176191476841931,0.07964106547367697,0.026975705493435816,,,,,,,,
performance,cpr,mint,50,,,,,,,10,10,20,20,40,,,,,,,80,80,300,160,460,263.068,0.5832708333333333,0.40518341499585825,0.9467236501235282,0.05773449518833554,0.007162270434763662,0.0125,0.9433333333333334,0.5832708333333333,,,,0.7331666666666666,0.27525597008421465,,,,0.3760093668877275,0.9224628130340691,,,,0.9562276551266161,0.03199406071215146,,,,0.059073837836705625,,,,,,,,,,,,,0.433375,0.17450257328070173,0.8886979709415221,0.0049142835875972905
performance,cpr,mounts,50,7,,,,,7,,6,20,20,40,23,,,,,124,,72,300,219,519,233.88,0.7959208523592085,0.7643000530293546,0.9933423994713243,0.3335763340712392,0.006492484393071412,0.0091324200913242,0.8,0.8385254012778557,,,0.7353225806451613,0.8608333333333333,0.5474081421979536,,,0.609300509852289,0.6408319740448739,0.9930853704255287,,,0.9896353744131813,0.9980124761459314,0.18697416955287668,,,0.22195667175938275,0.21677827334253016,0.9194202898550724,,0.3920919426966979,,0.9916082607174735,,0.12218756355671709,,,,,,,,,
performance,cpr,pcb,50,,,,5,,5,5,5,20,20,40,,,,98,,99,124,104,300,425,725,259.399,0.7988235294117647,0.8512036799011397,0.9235904546638845,0.02911795780598375,0.0069179651034461005,0.009411764705882352,0.79,0.7921411157859891,,,0.8237037037037038,0.6638782051282051,0.5838811884811465,,,0.6547154477352478,0.3206958056260906,0.9269907444084522,,,0.8995989459980409,0.9687822497644458,0.02024088663978798,,,0.01008238552963582,0.05445205459152951,,0.7512244897959184,,0.46219184188516554,,0.9009635902180436,,0.0020407071356658988,,,,,0.9297580645161291,0.897921658678082,0.9386181916532786,0.014388399302320677
performance,cpr,phone_battery,50,5,,,5,5,,,5,20,20,40,33,,,23,120,,,84,300,260,560,259.894,0.8934102564102564,0.8878079647501005,0.9842024994591129,0.34947413964775415,0.00627487482141841,0.011538461538461539,0.8033333333333333,0.8208286161302466,,0.9279722222222222,,0.976031746031746,0.5171861444041744,,0.8417407330894665,,0.9152053901519662,0.9725950437728716,,0.9726273172457781,,0.9948477818848038,0.1491806184280496,,0.2008760043899335,,0.35955279973549686,0.721919191919192,0.6573913043478261,0.2051324340180049,0.10666602035725993,0.9640866428825743,0.9588184330783304,0.026368432659957045,0.009925236926811024,,,,,,,,
performance,cpr,plastic_nut,50,5,,,5,,5,,5,20,20,40,8,,,8,,51,,19,300,86,386,258.445,0.7312403100775194,0.48067517213375127,0.9748140118116299,0.10480910457927717,0.007078909067371607,0.011627906976744186,0.9166666666666666,0.7561380933952528,,,0.6613725490196078,0.9319298245614035,0.2801901305261225,,,0.2014095862214331,0.8021580500682666,0.9835741828264154,,,0.9630645738706225,0.9992653234772445,0.03850437797232201,,,0.024461458833970554,0.11630253120980412,0.77625,0.655,0.05872059331164257,0.05847229250314792,0.9775040462610894,0.9944627876967053,0.0015198375875891134,0.011733684257924235,,,,,,,,
performance,cpr,plastic_plug,50,5,,,5,,5,,5,20,20,40,116,,,53,,26,,47,300,242,542,255.258,0.809793388429752,0.7451511067212124,0.9880968348305795,0.21080289343409445,0.006524481180809321,0.008264462809917356,0.9033333333333333,0.7972378892927005,,,0.7875641025641026,0.7851773049645391,0.40107997691254543,,,0.20811979819060183,0.43944569082432433,0.9821963351977269,,,0.9876803722746695,0.9839873938853696,0.07647858014760296,,,0.03210552564445349,0.047974669065480306,0.8401724137931034,0.7760377358490567,0.6432649179688706,0.3134895006663849,0.9962019559699202,0.960915618660948,0.2135036914152005,0.012330434465277545,,,,,,,,
performance,cpr,porcelain_doll,50,,,7,7,,,,6,20,20,40,,,52,35,,,,78,300,165,465,268.602,0.7311717171717171,0.6436032286832616,0.9840802663960849,0.11016224023072253,0.00670543182796762,0.012121212121212121,0.97,0.7210466015466016,,,,0.8202991452991453,0.3848522950151099,,,,0.630057378090601,0.9787051410928219,,,,0.9888282177887668,0.05252930265065637,,,,0.12147690269920067,,0.7745714285714286,,0.3123816208472499,,0.9746231588191896,,0.009371802669472507,0.5682692307692309,0.21211788610747878,0.9726640466705093,0.026739202583295943,,,,
